Student_ID,Class,Gender,School,Subject,Study_Hours_Per_Day,Attendance_%,Assignment_Completion_%,Sleep_Hours,Previous_Score,Final_Score,Grade,Study_Method,Internet_Access
STU1042,12,Male,DAV Public School,Computer Science,2.7,85.1,74.2,6.0,47.3,54.7,D,Online Courses,Good
STU1043,9,Female,Kendriya Vidyalaya,Science,1.2,83.8,86.0,6.1,74.5,66.5,C,Study Group,Good
STU1044,9,Male,Kendriya Vidyalaya,Mathematics,0.5,91.7,78.6,7.5,88.1,70.1,B,Online Courses,Poor
STU1045,9,Female,Delhi Public School,Mathematics,3.8,59.5,75.8,7.1,55.9,42.2,D,Online Courses,Good
STU1046,11,Female,Modern School,Mathematics,4.4,80.3,69.9,8.5,66.1,63.2,C,Self Study,Good
STU1047,12,Male,DAV Public School,Mathematics,3.4,65.1,75.4,6.3,73.1,52.8,D,Online Courses,Average
STU1048,12,Male,DAV Public School,Science,3.5,72.0,84.7,7.1,87.6,59.3,D,Online Courses,Good
STU1049,9,Female,Modern School,Mathematics,2.3,81.7,100.0,7.3,60.8,66.7,C,Study Group,Good
STU1050,9,Male,DAV Public School,Social Studies,2.0,92.1,73.3,6.4,69.2,55.9,D,Self Study,Good
STU1051,10,Male,Ryan International,Computer Science,1.9,88.8,100.0,4.0,64.0,61.1,C,Self Study,Average
STU1052,12,Female,St. Xavier's,English,3.0,84.7,52.7,6.9,67.1,58.8,D,Self Study,Poor
STU1053,10,Female,Ryan International,Science,1.9,83.9,60.3,7.9,83.4,51.9,D,Online Courses,Average
STU1054,10,Male,Modern School,English,2.5,91.9,71.5,6.3,60.6,56.0,D,Self Study,Good
STU1055,9,Male,Delhi Public School,Social Studies,4.0,91.6,61.5,7.4,44.1,58.3,D,Self Study,Good
STU1056,10,Female,St. Xavier's,Social Studies,4.9,63.2,85.2,6.7,56.9,60.6,C,Online Courses,Good
STU1057,12,Male,DAV Public School,Computer Science,1.5,85.2,78.7,8.4,98.0,69.8,C,Online Courses,Good
STU1058,11,Male,Modern School,Social Studies,2.2,86.9,100.0,7.2,66.4,71.1,B,Coaching,Average
STU1059,9,Female,Kendriya Vidyalaya,Social Studies,1.3,84.1,67.1,8.0,65.5,54.9,D,Self Study,Good
STU1060,9,Female,Kendriya Vidyalaya,English,2.2,94.0,73.0,5.9,66.8,57.3,D,Study Group,Good
STU1061,9,Female,Delhi Public School,English,1.7,60.7,92.2,6.4,64.7,54.6,D,Study Group,Average
STU1062,9,Male,St. Xavier's,Mathematics,5.0,100.0,100.0,7.4,54.9,67.0,C,Study Group,Average
STU1063,10,Male,St. Xavier's,Social Studies,3.7,91.6,80.7,7.2,80.6,63.8,C,Online Courses,Good
STU1064,12,Female,Ryan International,Mathematics,3.4,86.2,56.4,8.3,52.6,61.7,C,Study Group,Average
STU1065,11,Male,DAV Public School,Computer Science,2.8,67.0,79.1,5.9,65.8,60.0,D,Online Courses,Average
STU1066,12,Male,DAV Public School,Science,0.7,78.5,91.1,7.8,57.1,48.8,D,Coaching,Average
STU1067,12,Male,DAV Public School,Science,2.4,98.6,81.4,8.2,65.1,68.7,C,Self Study,Poor
STU1068,10,Male,Modern School,Social Studies,2.2,80.7,87.5,7.2,67.0,63.5,C,Coaching,Average
STU1069,10,Female,DAV Public School,Computer Science,1.4,74.7,58.0,7.0,54.4,55.3,D,Self Study,Good
STU1070,9,Male,Ryan International,Science,2.5,81.2,96.0,6.8,75.8,55.6,D,Coaching,Poor
STU1071,9,Male,DAV Public School,Science,4.6,70.9,74.5,5.0,53.3,51.8,D,Study Group,Good
STU1072,9,Female,Delhi Public School,Social Studies,6.0,81.1,78.4,6.2,57.9,67.7,C,Online Courses,Good
STU1073,11,Male,Delhi Public School,Mathematics,3.9,66.9,100.0,6.0,51.7,61.0,C,Online Courses,Average
STU1074,12,Male,Kendriya Vidyalaya,Computer Science,0.8,71.8,67.1,7.8,62.8,62.0,C,Study Group,Good
STU1075,12,Female,Ryan International,Science,3.5,82.2,56.1,7.2,80.8,51.1,D,Self Study,Good
STU1076,10,Female,Delhi Public School,Science,2.9,65.3,99.4,5.2,78.9,60.4,C,Online Courses,Average
STU1077,10,Male,Delhi Public School,Computer Science,2.6,72.7,82.0,5.3,72.9,54.3,D,Online Courses,Good
STU1078,12,Male,Kendriya Vidyalaya,English,2.2,93.0,69.7,5.3,98.0,63.7,C,Self Study,Average
STU1079,12,Female,DAV Public School,Science,2.4,67.5,66.6,7.9,69.2,48.1,D,Self Study,Good
STU1080,12,Male,Ryan International,Mathematics,4.0,69.6,71.9,8.5,66.8,49.8,D,Study Group,Average
STU1081,10,Male,DAV Public School,Computer Science,4.3,90.7,68.1,6.4,78.1,66.6,C,Self Study,Poor
STU1082,9,Male,Delhi Public School,Social Studies,2.1,73.2,70.3,5.9,80.5,55.2,D,Study Group,Good
STU1083,9,Male,Kendriya Vidyalaya,Science,4.1,80.0,84.9,7.9,58.1,58.2,D,Self Study,Good
STU1084,11,Female,Kendriya Vidyalaya,Social Studies,0.4,100.0,90.8,7.7,72.5,64.2,C,Self Study,Average
STU1085,10,Male,Ryan International,Computer Science,3.2,96.7,64.6,5.6,69.9,58.6,D,Coaching,Average
STU1086,11,Female,St. Xavier's,Science,3.4,93.3,83.7,6.2,49.0,59.8,D,Self Study,Good
STU1087,12,Male,St. Xavier's,Mathematics,2.6,95.7,80.4,6.4,68.0,61.6,C,Online Courses,Average
STU1088,10,Male,DAV Public School,English,2.9,86.0,88.4,5.3,84.0,58.1,D,Study Group,Good
STU1089,10,Male,Delhi Public School,English,3.1,74.5,89.4,7.9,78.6,62.4,C,Coaching,Poor
STU1090,10,Female,Modern School,English,5.1,74.0,80.6,5.2,66.0,54.8,D,Study Group,Average
STU1091,12,Female,Delhi Public School,Social Studies,0.9,96.3,74.7,6.5,81.7,66.8,C,Coaching,Good
STU1092,9,Female,DAV Public School,Science,2.0,95.8,82.3,6.0,73.4,60.3,C,Online Courses,Average
STU1093,11,Male,Modern School,English,2.6,73.8,72.3,8.7,68.5,60.3,C,Self Study,Good
STU1094,10,Male,Modern School,Mathematics,5.9,77.8,81.9,8.4,71.6,60.1,C,Coaching,Poor
STU1095,12,Female,Modern School,English,0.3,88.1,77.7,6.3,58.6,47.6,D,Study Group,Average
STU1096,10,Female,DAV Public School,Science,5.2,77.2,67.4,8.1,69.1,65.3,C,Coaching,Average
STU1097,9,Male,Delhi Public School,Science,1.9,78.2,92.8,6.1,48.1,43.9,D,Online Courses,Good
STU1098,11,Female,Delhi Public School,Computer Science,3.4,84.7,83.9,7.5,59.1,50.3,D,Coaching,Good
STU1099,9,Female,St. Xavier's,Computer Science,2.8,88.5,83.6,7.1,74.9,62.3,C,Study Group,Good
STU1100,11,Female,DAV Public School,English,3.0,80.3,89.5,9.1,85.2,64.8,C,Online Courses,Average
STU1101,11,Male,Modern School,Mathematics,4.0,80.3,82.7,8.2,51.5,63.5,C,Self Study,Average
STU1102,9,Male,Delhi Public School,English,0.3,70.6,68.2,5.9,63.5,47.5,D,Coaching,Average
STU1103,10,Male,St. Xavier's,Social Studies,3.4,80.8,51.8,6.9,91.4,59.7,D,Self Study,Average
STU1104,9,Male,St. Xavier's,Social Studies,5.0,88.2,89.4,6.4,74.5,71.0,B,Study Group,Good
STU1105,12,Male,Ryan International,Computer Science,3.9,80.1,98.7,7.7,80.5,73.1,B,Study Group,Good
STU1106,11,Male,DAV Public School,Science,4.3,92.6,93.2,6.8,63.6,62.6,C,Coaching,Poor
STU1107,12,Male,Ryan International,English,4.8,97.9,98.2,5.2,65.4,65.0,C,Coaching,Good
STU1108,9,Female,DAV Public School,English,0.3,97.2,78.2,9.7,53.0,49.3,D,Self Study,Good
STU1109,10,Female,St. Xavier's,Science,3.1,99.3,82.9,6.3,51.1,62.0,C,Coaching,Poor
STU1110,12,Male,Ryan International,Computer Science,1.6,85.0,94.2,7.1,60.0,46.7,D,Coaching,Good
STU1111,11,Male,St. Xavier's,English,3.3,79.1,60.6,5.6,85.6,58.8,D,Self Study,Good
STU1112,12,Female,Delhi Public School,English,3.5,90.9,100.0,8.9,71.1,65.7,C,Coaching,Average
STU1113,11,Female,DAV Public School,Computer Science,4.1,86.6,94.3,6.6,65.4,65.5,C,Online Courses,Average
STU1114,11,Male,Delhi Public School,Computer Science,2.7,78.0,65.3,6.4,40.4,45.6,D,Study Group,Average
STU1115,12,Female,DAV Public School,Mathematics,2.0,75.8,52.3,7.5,83.7,55.8,D,Coaching,Good
STU1116,12,Male,Modern School,Social Studies,4.1,70.1,78.6,6.5,53.3,52.3,D,Self Study,Good
STU1117,9,Female,Modern School,English,1.8,89.4,100.0,6.4,66.1,67.0,C,Online Courses,Good
STU1118,10,Female,Modern School,English,3.8,79.1,75.1,6.3,69.9,65.3,C,Self Study,Good
STU1119,10,Female,Delhi Public School,Mathematics,4.1,83.3,87.3,8.0,85.7,81.2,A,Online Courses,Good
STU1120,11,Male,Modern School,English,4.9,97.6,100.0,4.4,65.1,45.1,D,Self Study,Good
STU1121,11,Male,Delhi Public School,Mathematics,3.9,99.4,79.3,7.9,68.7,73.2,B,Online Courses,Average
STU1122,12,Female,St. Xavier's,Mathematics,2.6,81.8,63.9,8.1,62.7,56.6,D,Coaching,Good
STU1123,12,Female,Ryan International,Science,2.6,78.5,75.5,7.4,62.5,64.0,C,Coaching,Good
STU1124,12,Female,Delhi Public School,Computer Science,1.1,86.8,95.3,8.3,59.7,55.0,D,Study Group,Average
STU1125,11,Male,DAV Public School,Mathematics,1.2,78.8,58.8,7.6,80.3,60.8,C,Self Study,Average
STU1126,10,Male,Kendriya Vidyalaya,Social Studies,2.4,71.8,48.0,8.1,57.5,47.6,D,Study Group,Average
STU1127,11,Female,Modern School,Science,4.0,78.4,68.7,7.3,59.5,73.8,B,Online Courses,Average
STU1128,11,Male,DAV Public School,Mathematics,1.5,85.9,66.3,6.0,66.3,68.3,C,Study Group,Good
STU1129,12,Female,Kendriya Vidyalaya,Science,0.5,84.3,89.7,7.4,75.8,63.1,C,Study Group,Good
STU1130,12,Female,DAV Public School,Mathematics,0.4,78.4,85.6,6.8,30.0,48.0,D,Coaching,Good
STU1131,10,Female,Modern School,English,1.7,82.3,80.4,7.1,69.1,53.6,D,Study Group,Average
STU1132,12,Male,Kendriya Vidyalaya,English,3.0,69.4,87.3,7.3,72.5,61.0,C,Self Study,Average
STU1133,9,Male,DAV Public School,Mathematics,2.4,68.5,84.0,6.8,73.5,58.6,D,Self Study,Good
STU1134,12,Male,Ryan International,Mathematics,1.5,75.7,88.3,8.5,74.6,62.6,C,Coaching,Poor
STU1135,9,Female,Delhi Public School,Computer Science,2.9,71.1,66.9,5.4,63.1,63.3,C,Study Group,Average
STU1136,11,Female,St. Xavier's,Science,0.3,75.9,49.5,6.5,48.2,53.7,D,Online Courses,Good
STU1137,11,Female,DAV Public School,Science,1.3,100.0,100.0,7.9,64.5,63.2,C,Coaching,Good
STU1138,9,Male,Kendriya Vidyalaya,Science,4.3,85.8,72.4,5.1,55.2,50.5,D,Study Group,Average
STU1139,11,Male,Delhi Public School,Mathematics,3.1,80.5,43.7,6.5,67.6,46.9,D,Coaching,Average
STU1140,10,Female,Delhi Public School,Mathematics,4.1,94.8,55.7,8.0,49.8,70.6,B,Online Courses,Average
STU1141,9,Female,Modern School,Science,2.4,68.8,54.6,8.6,69.3,64.5,C,Self Study,Average
STU1142,12,Female,Ryan International,Science,4.5,84.1,92.1,5.8,56.1,65.2,C,Coaching,Good
STU1143,11,Male,Kendriya Vidyalaya,Computer Science,3.8,85.4,89.2,6.5,46.5,63.3,C,Coaching,Average
STU1144,11,Female,St. Xavier's,Mathematics,2.3,88.9,49.3,6.5,68.3,61.6,C,Coaching,Average
STU1145,9,Male,Modern School,Mathematics,0.7,94.3,90.8,7.9,41.8,49.6,D,Online Courses,Good
STU1146,11,Female,Modern School,Mathematics,4.3,68.4,86.1,7.5,77.6,71.3,B,Online Courses,Good
STU1147,11,Female,DAV Public School,Mathematics,1.4,79.0,56.4,8.4,54.4,57.4,D,Self Study,Average
STU1148,9,Female,DAV Public School,Science,6.5,96.8,71.4,7.7,64.3,75.2,B,Online Courses,Average
STU1149,10,Male,St. Xavier's,Science,1.8,71.9,80.8,8.0,65.3,47.6,D,Study Group,Good
STU1150,9,Male,Modern School,Science,0.3,87.2,58.8,7.3,68.4,49.0,D,Study Group,Good
STU1151,11,Female,DAV Public School,English,3.9,88.8,87.8,7.4,51.7,60.4,C,Online Courses,Poor
STU1152,10,Female,Delhi Public School,Science,1.2,95.7,88.9,7.0,75.8,78.5,B,Study Group,Good
STU1153,9,Female,Kendriya Vidyalaya,Social Studies,5.4,90.3,92.8,5.6,98.0,78.5,B,Coaching,Good
STU1154,10,Male,DAV Public School,Mathematics,5.6,84.9,59.2,6.6,78.2,57.9,D,Online Courses,Good
STU1155,10,Female,Ryan International,Computer Science,2.0,93.9,48.6,6.0,73.3,55.7,D,Study Group,Average
STU1156,9,Female,DAV Public School,Social Studies,1.4,80.2,62.8,8.2,83.1,65.6,C,Coaching,Average
STU1157,11,Male,Ryan International,English,3.8,66.4,68.2,6.8,65.6,58.5,D,Online Courses,Average
STU1158,12,Female,Ryan International,Science,2.9,76.6,98.1,8.0,82.2,79.9,B,Online Courses,Good
STU1159,11,Male,DAV Public School,English,3.6,75.9,69.8,6.8,53.4,51.1,D,Online Courses,Good
STU1160,11,Male,DAV Public School,English,2.6,90.0,78.7,7.6,69.5,48.7,D,Coaching,Good
STU1161,11,Female,Delhi Public School,Social Studies,7.0,71.4,67.2,6.1,81.5,65.7,C,Study Group,Average
STU1162,11,Male,St. Xavier's,Computer Science,4.9,79.7,80.8,7.0,60.6,67.2,C,Study Group,Good
STU1163,10,Female,Delhi Public School,Mathematics,3.1,100.0,67.7,6.1,55.3,63.1,C,Online Courses,Good
STU1164,10,Female,Ryan International,Social Studies,2.6,82.6,81.4,10.0,48.7,46.4,D,Study Group,Average
STU1165,11,Female,St. Xavier's,Computer Science,2.3,86.5,85.0,5.0,84.8,49.4,D,Study Group,Poor
STU1166,9,Female,Ryan International,Social Studies,0.7,93.3,84.6,7.5,57.0,61.6,C,Coaching,Average
STU1167,12,Male,DAV Public School,English,5.2,76.7,60.3,8.2,67.6,60.3,C,Coaching,Average
STU1168,11,Male,Delhi Public School,Mathematics,2.0,95.1,84.2,7.7,60.3,57.2,D,Coaching,Good
STU1169,9,Male,St. Xavier's,Computer Science,2.3,80.7,66.7,7.2,80.4,39.7,D,Study Group,Good
STU1170,9,Male,St. Xavier's,Science,0.3,85.1,76.7,7.4,50.2,63.9,C,Study Group,Good
STU1171,10,Male,DAV Public School,Computer Science,0.3,80.4,84.2,6.3,67.9,52.0,D,Study Group,Poor
STU1172,10,Male,Modern School,Science,3.8,64.7,95.6,8.4,67.8,55.7,D,Coaching,Good
STU1173,12,Female,Ryan International,Social Studies,4.2,89.1,60.8,8.1,67.7,67.4,C,Online Courses,Good
STU1174,12,Male,DAV Public School,Computer Science,3.2,100.0,67.3,7.2,89.8,60.0,C,Study Group,Average
STU1175,11,Male,DAV Public School,Mathematics,2.7,94.2,69.8,5.4,69.3,58.6,D,Coaching,Good
STU1176,11,Female,DAV Public School,Mathematics,4.7,80.5,81.1,5.2,44.9,66.8,C,Study Group,Good
STU1177,11,Male,DAV Public School,Mathematics,4.2,93.0,71.9,6.0,64.9,54.0,D,Study Group,Good
STU1178,11,Female,DAV Public School,Mathematics,4.6,81.7,81.7,7.5,51.8,58.2,D,Self Study,Good
STU1179,11,Female,Ryan International,Computer Science,1.8,91.5,83.7,5.5,79.9,56.6,D,Coaching,Good
STU1180,10,Male,Ryan International,Social Studies,2.2,93.7,100.0,8.1,65.9,64.0,C,Self Study,Good
STU1181,12,Male,Modern School,Social Studies,3.1,82.2,74.8,4.6,63.8,44.3,D,Coaching,Poor
STU1182,9,Male,DAV Public School,Social Studies,2.7,86.0,82.8,7.3,72.5,57.7,D,Coaching,Average
STU1183,9,Female,Kendriya Vidyalaya,Computer Science,2.5,88.1,71.4,7.4,60.1,57.6,D,Self Study,Good
STU1184,12,Male,Delhi Public School,Computer Science,2.6,77.9,74.9,7.6,74.6,67.2,C,Coaching,Average
STU1185,10,Male,Ryan International,Mathematics,3.5,81.7,81.2,8.4,67.8,55.7,D,Coaching,Good
STU1186,12,Male,DAV Public School,English,3.1,69.3,82.9,6.2,65.0,52.7,D,Coaching,Good
STU1187,10,Female,DAV Public School,English,2.3,79.5,85.2,7.1,61.5,56.8,D,Study Group,Average
STU1188,12,Male,Modern School,Mathematics,2.7,94.2,77.7,7.3,41.6,57.3,D,Online Courses,Average
STU1189,11,Male,St. Xavier's,English,3.4,77.9,89.1,7.1,52.9,46.5,D,Study Group,Good
STU1190,10,Female,St. Xavier's,English,1.8,61.9,98.0,5.0,66.2,44.3,D,Online Courses,Poor
STU1191,10,Female,Delhi Public School,Computer Science,0.8,70.4,90.3,7.1,94.8,59.2,D,Online Courses,Average
STU1192,9,Male,Delhi Public School,Mathematics,5.6,73.0,48.3,5.8,73.4,56.6,D,Online Courses,Good
STU1193,11,Male,DAV Public School,Social Studies,1.8,86.5,65.7,9.6,73.4,48.5,D,Study Group,Poor
STU1194,11,Female,Kendriya Vidyalaya,Computer Science,1.2,85.4,86.5,6.7,78.5,55.8,D,Coaching,Poor
STU1195,10,Male,DAV Public School,Social Studies,4.4,59.7,95.6,6.5,52.2,61.1,C,Study Group,Good
STU1196,9,Female,Delhi Public School,Computer Science,2.9,78.9,73.1,6.2,72.4,65.8,C,Coaching,Good
STU1197,12,Male,DAV Public School,Science,1.1,82.3,83.9,5.5,58.7,58.1,D,Coaching,Poor
STU1198,12,Female,Ryan International,Mathematics,4.5,76.0,85.7,7.3,57.8,66.0,C,Online Courses,Average
STU1199,11,Female,Modern School,Mathematics,4.9,93.2,74.5,6.4,49.1,58.5,D,Self Study,Good
STU1200,11,Female,St. Xavier's,Computer Science,3.7,65.9,69.3,7.6,61.6,50.3,D,Study Group,Average
STU1201,11,Female,Kendriya Vidyalaya,Computer Science,2.2,100.0,96.5,8.0,52.3,65.4,C,Online Courses,Good
STU1202,10,Male,Delhi Public School,Social Studies,3.5,86.2,75.9,5.9,76.2,57.6,D,Self Study,Average
STU1203,9,Male,Delhi Public School,Social Studies,2.9,87.1,54.7,7.5,45.9,48.2,D,Study Group,Good
STU1204,11,Male,DAV Public School,Social Studies,4.0,91.3,73.3,7.7,49.7,59.8,D,Self Study,Average
STU1205,12,Male,DAV Public School,English,2.4,61.6,84.6,7.9,63.1,55.0,D,Study Group,Good
STU1206,12,Female,Ryan International,Computer Science,4.1,71.1,73.3,8.3,53.5,57.6,D,Study Group,Good
STU1207,10,Male,Ryan International,English,2.2,65.5,78.1,6.5,79.2,58.6,D,Coaching,Average
STU1208,10,Female,Ryan International,English,1.2,83.6,94.3,8.0,86.5,70.0,C,Coaching,Good
STU1209,9,Male,Delhi Public School,Mathematics,3.4,86.0,87.2,6.5,65.4,56.5,D,Online Courses,Good
STU1210,11,Female,Modern School,Science,3.3,79.0,86.4,7.7,86.1,56.2,D,Coaching,Good
STU1211,9,Female,St. Xavier's,Social Studies,2.0,99.8,80.3,6.4,65.7,61.4,C,Online Courses,Good
STU1212,9,Male,DAV Public School,Science,3.4,84.0,65.2,7.1,59.9,52.1,D,Online Courses,Good
STU1213,12,Female,Ryan International,Mathematics,2.2,68.4,61.3,7.0,57.3,54.6,D,Study Group,Good
STU1214,11,Male,Kendriya Vidyalaya,Science,0.9,88.3,93.5,6.9,56.9,48.9,D,Online Courses,Poor
STU1215,11,Male,Delhi Public School,Science,3.3,92.0,90.4,8.8,86.3,78.0,B,Self Study,Good
STU1216,11,Male,Kendriya Vidyalaya,Computer Science,2.4,80.0,77.9,8.4,62.6,62.0,C,Study Group,Good
STU1217,12,Female,Kendriya Vidyalaya,English,5.2,76.7,83.5,6.1,88.3,59.9,D,Study Group,Good
STU1218,10,Female,Delhi Public School,Social Studies,2.5,96.7,67.1,5.3,53.2,52.6,D,Self Study,Average
STU1219,12,Male,Ryan International,Computer Science,0.9,80.2,95.8,8.4,66.4,44.5,D,Study Group,Average
STU1220,9,Female,St. Xavier's,English,1.8,77.2,65.1,7.1,98.0,56.7,D,Self Study,Average
STU1221,9,Female,Delhi Public School,English,4.0,80.3,78.5,8.3,53.2,60.0,C,Coaching,Good
STU1222,9,Female,St. Xavier's,English,2.0,84.8,100.0,9.2,43.0,58.5,D,Coaching,Good
STU1223,9,Male,Ryan International,Computer Science,3.7,82.2,60.9,8.0,70.3,52.9,D,Online Courses,Average
STU1224,12,Female,St. Xavier's,Science,2.6,82.5,79.6,6.6,56.8,33.4,D,Self Study,Good
STU1225,11,Female,St. Xavier's,Social Studies,4.1,53.4,84.4,4.5,62.4,58.7,D,Online Courses,Poor
STU1226,11,Male,Delhi Public School,Mathematics,1.1,85.5,91.0,7.6,74.6,61.7,C,Online Courses,Average
STU1227,9,Male,DAV Public School,English,1.1,85.3,73.3,7.2,62.0,44.5,D,Self Study,Average
STU1228,11,Female,Modern School,Science,1.3,92.5,78.9,7.2,84.3,62.3,C,Coaching,Good
STU1229,12,Female,DAV Public School,English,1.4,77.9,66.7,5.9,43.2,53.9,D,Coaching,Good
STU1230,10,Male,Ryan International,English,3.7,81.1,82.6,8.6,82.9,62.0,C,Online Courses,Good
STU1231,10,Male,Modern School,English,3.8,91.5,75.2,4.4,51.9,48.1,D,Online Courses,Poor
STU1232,9,Male,Kendriya Vidyalaya,English,3.4,82.9,96.5,8.0,64.2,70.8,B,Coaching,Average
STU1233,12,Male,Delhi Public School,Mathematics,3.9,87.3,68.1,7.6,63.8,80.8,A,Study Group,Good
STU1234,9,Female,St. Xavier's,Mathematics,2.1,58.0,100.0,7.4,62.1,58.9,D,Coaching,Poor
STU1235,10,Male,Delhi Public School,Mathematics,4.2,77.3,86.6,7.1,79.4,66.8,C,Self Study,Good
STU1236,10,Female,DAV Public School,Science,3.0,96.7,73.9,4.8,64.4,63.9,C,Self Study,Average
STU1237,9,Female,St. Xavier's,Mathematics,1.4,92.2,85.4,7.8,68.5,60.7,C,Coaching,Good
STU1238,9,Male,Delhi Public School,Computer Science,3.8,78.2,68.0,6.1,49.1,44.6,D,Coaching,Average
STU1239,9,Female,DAV Public School,Science,1.1,82.3,86.0,7.2,88.8,75.9,B,Self Study,Good
STU1240,11,Male,Ryan International,Science,2.1,45.0,75.3,5.6,85.4,51.7,D,Online Courses,Good
STU1241,10,Male,DAV Public School,Computer Science,2.3,82.6,87.0,7.6,78.5,60.5,C,Online Courses,Good
STU1242,9,Male,Delhi Public School,Computer Science,0.3,79.1,41.3,6.6,81.9,52.1,D,Self Study,Average
STU1243,9,Female,Delhi Public School,Social Studies,5.1,82.5,80.2,6.7,75.5,66.8,C,Online Courses,Average
